Run No,Time in nanosec,Time in millisec,Time in minutes
1,4.85E+12,4854414.232,80.90690386
2,4.78E+12,4783480.181,79.72466968
3,4.72E+12,4720776.028,78.67960047
4,4.65E+12,4652286.562,77.53810937
5,4.81E+12,4811112.905,80.18521508
6,4.81E+12,4811857.863,80.19763105
7,4.66E+12,4664304.282,77.7384047
8,4.74E+12,4737086.592,78.9514432
9,4.66E+12,4657274.484,77.6212414
10,4.86E+12,4856940.084,80.9490014
11,4.84E+12,4837056.837,80.61761395
12,4.82E+12,4816117.313,80.26862189
13,4.85E+12,4849736.932,80.82894886
14,4.65E+12,4652144.255,77.53573758
15,4.87E+12,4867336.552,81.12227587
16,3.83E+12,3827025.652,63.78376086
17,4.38E+12,4379429.942,72.99049904
18,4.85E+12,4846819.853,80.78033088
19,5.09E+12,5093576.516,84.89294194
20,4.76E+12,4756708.393,79.27847321
